@relation 'Coh-Metrix-Port Projeto PLN-weka.filters.unsupervised.attribute.Remove-R1'

@attribute rotulo {0,1}
@attribute basic_counts_adjectives numeric
@attribute basic_counts_adverbs numeric
@attribute basic_counts_content_words numeric
@attribute basic_counts_flesch numeric
@attribute basic_counts_function_words numeric
@attribute basic_counts_sentences_per_paragraph numeric
@attribute basic_counts_syllables_per_content_word numeric
@attribute basic_counts_words_per_sentence numeric
@attribute basic_counts_nouns numeric
@attribute basic_counts_paragraphs numeric
@attribute basic_counts_sentences numeric
@attribute basic_counts_words numeric
@attribute basic_counts_pronouns numeric
@attribute basic_counts_verbs numeric
@attribute logic_operators_and_incidence numeric
@attribute logic_operators_if_incidence numeric
@attribute logic_operators_or_incidence numeric
@attribute logic_operators_negation_incidence numeric
@attribute logic_operators_logic_operators numeric
@attribute cw_frequencies_cw_freq numeric
@attribute cw_frequencies_min_cw_freq numeric
@attribute hypernyms_hypernyms_verbs numeric
@attribute tokens_brunet numeric
@attribute tokens_honore numeric
@attribute tokens_mcu numeric
@attribute tokens_pronouns_per_np numeric
@attribute tokens_personal_pronouns numeric
@attribute tokens_ttr numeric
@attribute connectives_conn_incidence numeric
@attribute connectives_add_neg_conn_incidence numeric
@attribute connectives_add_pos_conn_incidence numeric
@attribute connectives_cau_neg_conn_incidence numeric
@attribute connectives_cau_pos_conn_incidence numeric
@attribute connectives_log_neg_conn_incidence numeric
@attribute connectives_log_pos_conn_incidence numeric
@attribute connectives_tmp_neg_conn_incidence numeric
@attribute connectives_tmp_pos_conn_incidence numeric
@attribute ambiguity_adjectives_ambiguity numeric
@attribute ambiguity_adverbs_ambiguity numeric
@attribute ambiguity_nouns_ambiguity numeric
@attribute ambiguity_verbs_ambiguity numeric
@attribute syntax_cross_entropy numeric
@attribute syntax_dep_distance numeric
@attribute syntax_frazier numeric
@attribute syntax_yngve numeric
@attribute semantic_density_content_density numeric
@attribute constituents_mod_per_np numeric
@attribute constituents_np_incidence numeric
@attribute constituents_words_before_main_verb numeric
@attribute anaphoras_adjacent_refs numeric
@attribute anaphoras_anaphoric_refs numeric
@attribute coreference_adj_arg_ovl numeric
@attribute coreference_arg_ovl numeric
@attribute coreference_adj_stem_ovl numeric
@attribute coreference_stem_ovl numeric
@attribute coreference_adj_cw_ovl numeric
@attribute lsa_adj_mean numeric
@attribute lsa_adj_std numeric
@attribute lsa_all_mean numeric
@attribute lsa_all_std numeric
@attribute lsa_paragraph_mean numeric
@attribute lsa_paragraph_std numeric
@attribute lsa_givenness_mean numeric
@attribute lsa_givenness_std numeric
@attribute lsa_span_mean numeric
@attribute lsa_span_std numeric

@data
0,0,0,1000,-76.729231,0,1,3.692308,13,1000,1,1,13,0,0,0,0,0,0,0,84119.07692,0,0,5.622788,612.668844,1,0,0,0.846154,153.846154,0,153.846154,0,0,0,0,0,0,0,0,1.692308,0,0.822807,50,7,3.333333,0,0.5,615.384615,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,95.238095,23.809524,500,54.291429,380.952381,2,2.952381,21,261.904762,1,2,42,23.809524,119.047619,0,0,0,0,0,179804.4286,0,0.4,7.995519,1893.790839,2,0,0,0.833333,0,0,0,0,0,0,0,0,0,6.25,2,1.636364,6.333333,0.460337,82,8,2.886923,1.3125,0.533333,261.363636,1.5,0,0,1,1,1,1,1,0.052743,0,0.052743,0,0,0,0.052743,0,0.052743,0
0,88.757396,59.171598,603.550296,33.803139,396.449704,12,3.058824,14.083333,289.940828,1,12,169,59.171598,165.680473,17.751479,0,5.91716,0,23.668639,288698.9118,9199.333333,0.652174,10.395646,833.660831,1.583333,0.083333,5.91716,0.686391,112.426035,0,41.420118,0,76.923077,0,76.923077,0,5.91716,3.066667,2.555556,3.061224,8.44,0.5258,46.333333,6.875,2.149091,1.522388,0.565278,342.047884,1.75,0.363636,0.636364,0.181818,0.181818,0.545455,0.515152,0.363636,0.191514,0.213624,0.142093,0.159461,0,0,0.255273,0.186336,0.373491,0.211171
0,45.16129,48.387097,600,54.817571,390.322581,33,2.784946,9.393939,367.741936,1,33,310,100,138.709677,16.129032,0,6.451613,3.225806,25.806452,668529.2849,5812.818182,0.694444,11.575006,788.176245,1.333333,0.038721,12.903226,0.56129,83.870968,6.451613,35.483871,0,41.935484,0,45.16129,0,9.677419,3.285714,2,2.280702,8.361111,0.732258,30.848485,6.954545,2.151167,1.53719,0.253535,468.235554,1.939394,0.25,0.65625,0.375,0.25,0.3125,0.291667,0.15625,0.092286,0.124321,0.080866,0.138869,0,0,0.147216,0.124801,0.461435,0.304158
0,141.509434,9.433962,603.773585,-18.107987,386.792453,6,3.9375,17.666667,311.320755,1,6,106,84.90566,141.509434,66.037736,9.433962,0,0,75.471698,717314.4375,1456.833333,0.111111,10.109512,746.165319,1.666667,0.018519,9.433962,0.660377,141.509434,0,94.339623,0,47.169811,0,47.169811,0,9.433962,1.066667,6,2.636364,6.714286,0.526064,68.5,7.083333,2.546787,1.560976,2.138889,324.945887,1.333333,0,0,0.8,0.6,1.2,1.333333,0.6,0.425039,0.090453,0.425647,0.260885,0,0,0.497082,0.133252,0.624831,0.162942
0,62.761506,37.656904,556.485356,51.771268,426.778243,13,2.789474,18.384615,259.414226,1,13,239,83.682008,196.65272,16.736402,4.1841,4.1841,8.368201,33.472803,246856.6917,6812.769231,0.341463,11.413727,673.879405,2.692308,0.072009,16.736402,0.569038,83.682008,8.368201,25.104603,0,37.656904,0,29.288703,0,20.920502,2.2,2.714286,3.209677,8.909091,0.564392,63.769231,7.153846,2.639396,1.303922,0.426923,300.421679,3.538462,0.083333,0.25,0.416667,0.384615,0.75,0.564103,0.833333,0.188951,0.101931,0.131418,0.122961,0,0,0.187751,0.086378,0.338097,0.139074
0,55.319149,25.531915,595.744681,50.183611,391.489362,18,2.9,13.055556,400,1,18,235,59.574468,114.893617,34.042553,0,0,0,34.042553,295038.2214,1717.388889,0.826087,10.924675,883.222779,1.555556,0.011995,4.255319,0.634043,85.106383,0,34.042553,0,42.553191,0,25.531915,0,8.510638,1.615385,2.333333,1.904255,10.571429,0.930024,46.222222,6.638889,2.236816,1.521739,0.747685,465.842594,3.166667,0,0,0.235294,0.228758,0.176471,0.20915,0.117647,0.097089,0.148595,0.059063,0.145838,0,0,0.126468,0.154396,0.289157,0.275274
0,92.920354,70.79646,566.371681,48.086265,358.40708,10,2.796875,22.6,318.584071,1,10,226,30.973451,84.070796,17.699115,0,8.849558,8.849558,35.39823,328882.6172,3227.6,0.555556,10.711343,1177.05422,1.9,0,0,0.663717,66.371681,0,30.973451,4.424779,26.548673,8.849558,13.274336,0,8.849558,2.47619,2.272727,2.347222,8.9375,0.529088,92.7,7.2,2.900552,1.580247,0.65,387.863794,6.9,0,0,1.222222,0.933333,1.777778,1.2,1.666667,0.205963,0.12153,0.170321,0.17519,0,0,0.279589,0.167719,0.403182,0.197577
0,70.707071,55.555556,631.313131,42.241045,368.686869,20,2.944,9.9,348.484848,1,20,198,111.111111,156.565657,35.353535,0,0,0,35.353535,563363.448,42944.95,0.782609,10.438372,960.423625,1.35,0.114035,15.151515,0.69697,85.858586,5.050505,45.454545,5.050505,30.30303,10.10101,25.252525,0,15.151515,2,3.454545,2.710145,8.833333,0.697849,36.1,7,2.215246,1.712329,0.307895,372.63293,2.2,0.157895,0.421053,0.210526,0.131579,0.263158,0.142105,0.263158,0.090333,0.093062,0.078013,0.183577,0,0,0.161509,0.114861,0.351904,0.245001
0,74.829932,34.013605,612.244898,27.817959,387.755102,7,3.166667,21,367.346939,1,7,147,27.210884,136.054422,27.210884,0,13.605442,13.605442,54.421769,234140.5556,2756.428571,0.8,10.242915,921.109867,1.714286,0,0,0.693878,54.421769,0,34.013605,0,20.408163,0,13.605442,0,0,2.454545,3,2.87037,9.636364,0.447343,81,6.928571,2.828419,1.578947,1.321429,449.747713,5.428571,0,0,0.5,0.428571,1.333333,1,0.666667,0.415139,0.113601,0.362995,0.150776,0,0,0.467666,0.109126,0.548857,0.132683
